landuse,bin_left,bin_right,bin_mid,count,density,n
,0.0056931127197074,0.0059400124128325,0.0058165625662699,1714,0.0059697541743001,287114
,0.0059400124128325,0.0061869121059576,0.006063462259395,1346,0.004688033324742,287114
,0.0061869121059576,0.0064338117990827,0.0063103619525201,1360,0.0047367944440187,287114
,0.0064338117990827,0.0066807114922078,0.0065572616456452,1059,0.0036884303795704,287114
,0.0066807114922078,0.0069276111853329,0.0068041613387703,1282,0.0044651253509059,287114
,0.0069276111853329,0.007174510878458,0.0070510610318954,1396,0.0048621801793016,287114
,0.007174510878458,0.0074214105715831,0.0072979607250205,1286,0.0044790570992706,287114
,0.0074214105715831,0.0076683102647082,0.0075448604181456,745,0.0025947881329367,287114
,0.0076683102647082,0.0079152099578333,0.0077917601112708,889,0.0030963310740681,287114
,0.0079152099578333,0.0081621096509584,0.0080386598043959,984,0.0034272100977312,287114
,0.0081621096509584,0.0084090093440835,0.008285559497521,706,0.0024589535863803,287114
,0.0084090093440835,0.0086559090372086,0.0085324591906461,622,0.0021663868707203,287114
,0.0086559090372086,0.0089028087303337,0.0087793588837712,561,0.0019539277081577,287114
,0.0089028087303337,0.0091497084234588,0.0090262585768963,589,0.002051449946711,287114
,0.0091497084234588,0.0093966081165839,0.0092731582700214,599,0.0020862793176229,287114
,0.0093966081165839,0.009643507809709,0.0095200579631465,792,0.0027584861762226,287114
,0.009643507809709,0.0098904075028341,0.0097669576562716,512,0.0017832637906894,287114
,0.0098904075028341,0.0101373071959592,0.0100138573493967,708,0.0024659194605627,287114
,0.0101373071959592,0.0103842068890844,0.0102607570425218,391,0.0013618284026553,287114
recreational,1.441977783e-05,0.0002613194709551,0.0001378696243925,13617,0.3711567815089402,36688
recreational,0.0002613194709551,0.0005082191640802,0.0003847693175176,3913,0.1066561273440907,36688
recreational,0.0005082191640802,0.0007551188572053,0.0006316690106427,3270,0.089129960750109,36688
recreational,0.0007551188572053,0.0010020185503304,0.0008785687037678,2718,0.074084169210641,36688
recreational,0.0010020185503304,0.0012489182434555,0.0011254683968929,1900,0.0517880505887483,36688
recreational,0.0012489182434555,0.0014958179365806,0.001372368090018,2209,0.0602104230266027,36688
recreational,0.0014958179365806,0.0017427176297057,0.0016192677831431,2056,0.0560401221107719,36688
recreational,0.0017427176297057,0.0019896173228308,0.0018661674762682,1183,0.0322448757086785,36688
recreational,0.0019896173228308,0.0022365170159559,0.0021130671693933,1118,0.0304731792411687,36688
recreational,0.0022365170159559,0.002483416709081,0.0023599668625184,949,0.0258667684256432,36688
recreational,0.002483416709081,0.0027303164022061,0.0026068665556436,693,0.0188890100305276,36688
recreational,0.0027303164022061,0.0029772160953312,0.0028537662487687,586,0.0159725250763192,36688
recreational,0.0029772160953312,0.0032241157884563,0.0031006659418938,463,0.012619930222416,36688
recreational,0.0032241157884563,0.0034710154815814,0.0033475656350189,295,0.0080407762756214,36688
recreational,0.0034710154815814,0.0037179151747065,0.003594465328144,188,0.0051242913214129,36688
recreational,0.0037179151747065,0.0039648148678316,0.0038413650212691,252,0.0068687309201918,36688
recreational,0.0039648148678316,0.0042117145609567,0.0040882647143942,168,0.0045791539467945,36688
recreational,0.0042117145609567,0.0044586142540818,0.0043351644075193,172,0.0046881814217182,36688
recreational,0.0044586142540818,0.0047055139472069,0.0045820641006444,59,0.0016081552551242,36688
recreational,0.0047055139472069,0.004952413640332,0.0048289637937695,199,0.0054241168774531,36688
recreational,0.004952413640332,0.0051993133334572,0.0050758634868946,65,0.0017716964675098,36688
